thermoreg_reading,enzyme_activity_index,dual_lobe_signal,stress_variability,habitat_zone,activity_score,fasting_flag,health_outcome,calibration_tag,diagnostic_noise
52.6,97.0,3.6,-3.5,C2,2.0,0.0,1,A,0.4820884091527393
41.8,105.0,3.4000000000000004,10.5,C1,2.0,0.0,0,A,
56.2,126.0,5.5,9.6,C2,5.0,0.0,0,A,-0.747352283479433
57.7,106.0,-4.1000000000000005,-4.0,C1,4.0,0.0,1,A,0.5704775648537789
34.5,73.0,2.3000000000000003,0.3,C4,5.0,1.0,1,A,-0.310844030276356
39.7,69.0,-1.2000000000000002,5.1000000000000005,C4,2.0,1.0,0,A,1.416905769285914
51.2,94.0,-1.7000000000000002,3.8,C2,3.0,1.0,1,A,-1.3471864659603288
47.6,113.0,0.4,-4.4,C5,3.0,1.0,1,A,-0.5544779770462672
50.0,80.0,-2.6,,C3,,1.0,0,A,-0.8201938884998609
43.3,71.0,0.4,-2.0,C4,3.0,1.0,0,A,0.2806745894613568
57.2,70.0,-2.5,-4.9,C4,2.0,1.0,1,A,-0.7004690298097328
56.400000000000006,128.0,3.5,0.8,C1,1.0,0.0,1,A,0.9306181388595776
50.7,93.0,2.1,-0.2,C4,5.0,0.0,1,A,1.8382366692724104
59.2,82.0,0.2,-0.6000000000000001,C1,5.0,1.0,1,A,-0.0491815806117122
53.900000000000006,129.0,,-1.8,C5,4.0,0.0,1,A,0.4245924662982158
,86.0,3.1,7.2,C2,2.0,0.0,0,A,-0.5573988169282686
53.1,84.0,4.3,-1.3,C3,,0.0,0,A,1.1043480398738683
42.5,110.0,3.9,5.9,C1,2.0,0.0,1,A,-0.8351678088329629
57.2,102.0,5.5,-1.3,C1,5.0,1.0,1,A,-0.1431810750171375
49.8,56.0,1.0,0.2,C1,2.0,1.0,1,A,0.4434313928167315
48.7,122.0,1.8,4.4,C1,,1.0,0,A,-0.9998483283877873
,67.0,0.5,1.2000000000000002,C2,4.0,1.0,0,A,0.6949690112158986
,197.0,3.5,0.1,C1,3.0,1.0,0,A,-0.2052571705822108
48.900000000000006,85.0,-2.2,-2.3000000000000003,C5,4.0,0.0,1,A,0.3194506804771708
46.7,39.0,2.4000000000000004,7.5,C4,3.0,0.0,1,A,-0.3674815576518863
,141.0,4.9,0.2,C2,3.0,1.0,0,A,-1.2293308666422602
54.400000000000006,105.0,7.9,7.800000000000001,C4,5.0,,0,A,0.6572941669849693
53.1,111.0,4.6000000000000005,,C2,2.0,0.0,0,A,0.1754986784317391
53.5,115.0,0.5,-2.8000000000000003,C5,1.0,1.0,1,A,0.1508964061944079
53.6,68.0,-1.8,4.2,C3,3.0,1.0,1,B,-0.3712140809024122
,69.0,1.5,8.5,C3,3.0,0.0,0,A,0.5287751885497837
46.900000000000006,146.0,2.2,4.9,C1,3.0,0.0,0,A,-0.4277951819003524
46.1,50.0,1.4,,C3,3.0,0.0,0,A,0.1685825189086283
43.6,132.0,-0.3,-9.2,C3,3.0,,0,A,1.59571438970044
55.1,121.0,3.0,-4.6000000000000005,C1,3.0,0.0,1,A,-0.3691784603303246
59.2,119.0,5.0,2.4000000000000004,C1,5.0,0.0,0,A,0.433770034487732
49.2,85.0,5.7,0.6000000000000001,C4,1.0,1.0,1,A,-0.4152535390656947
43.400000000000006,150.0,2.8000000000000003,3.5,C5,5.0,1.0,1,A,0.3033523906066593
43.6,69.0,5.9,-8.5,C3,3.0,1.0,0,A,-0.2203899093441017
55.400000000000006,90.0,-0.7000000000000001,0.4,C1,1.0,1.0,1,A,0.7655626648143243
56.1,127.0,,-2.6,C2,1.0,1.0,1,,-0.6007059332175372
54.5,88.0,-1.6,-5.300000000000001,,3.0,0.0,1,A,-0.3646401824358776
44.8,63.0,6.800000000000001,12.4,,4.0,0.0,0,A,1.588372744162563
52.0,101.0,0.0,-2.9000000000000004,C1,3.0,0.0,1,A,0.1770676449519227
51.1,119.0,4.7,-4.3,C1,3.0,1.0,1,A,1.750224986992417
51.900000000000006,,5.7,5.300000000000001,C2,2.0,0.0,0,A,
57.1,167.0,4.7,4.1000000000000005,C3,3.0,1.0,0,A,-1.0730601338023549
,54.0,3.3000000000000003,0.5,C4,5.0,1.0,1,A,-0.0552154240038356
55.6,304.9924704577469,3.1,11.0,C2,3.0,0.0,0,A,0.3947143893051731
50.7,73.0,5.800000000000001,4.4,C1,4.0,0.0,1,A,-0.2089853435932439
52.5,78.0,-1.0,1.8,C1,1.0,1.0,1,,-1.38113308899024
55.2,93.0,-4.4,-4.1000000000000005,C3,3.0,0.0,1,,-1.6789092813166897
38.5,63.0,3.7,7.1000000000000005,C1,4.0,0.0,1,A,1.7412030333156825
47.6,66.0,4.800000000000001,1.2000000000000002,C3,4.0,0.0,0,A,-0.8103631268827923
46.400000000000006,30.0,-2.6,-8.4,C2,3.0,0.0,0,A,0.4608458277924674
45.0,129.0,2.3000000000000003,3.6,C2,3.0,0.0,0,A,0.9219288238778692
48.0,120.0,-2.0,-2.1,C1,1.0,1.0,1,A,0.8575285672087457
62.1,119.0,4.1000000000000005,5.300000000000001,C4,2.0,0.0,0,A,-3.149036728374814
,61.0,4.9,0.1,C3,4.0,0.0,0,A,-1.596569573704003
,,2.6,,C2,4.0,1.0,0,A,-1.3627466602510696
36.7,75.0,-2.3000000000000003,-10.4,C2,1.0,0.0,0,A,0.5375396465941884
47.5,79.0,6.6000000000000005,2.1,C2,5.0,0.0,0,A,-0.5471478131308604
51.5,57.0,2.0,,C2,5.0,0.0,1,A,-1.326178288021169
54.900000000000006,121.0,0.5,1.0,C4,2.0,1.0,1,A,0.538217160959557
55.900000000000006,100.0,5.1000000000000005,0.8,C2,1.0,,1,A,0.6970309885561763
56.5,117.0,3.7,-4.2,C1,2.0,0.0,1,A,-0.011407583203755
47.400000000000006,99.0,-1.7000000000000002,-5.5,C5,5.0,1.0,1,A,-1.4045119386716989
46.5,110.0,6.7,6.800000000000001,C2,3.0,0.0,0,A,0.2688634366171195
57.0,116.0,3.2,1.8,C1,2.0,0.0,0,A,-0.9378562005145676
48.6,88.0,4.2,-1.1,C1,5.0,1.0,1,A,-0.2071188182246656
